"Name","R.A.","Dec.","z","Type","Phot.","Spec."
"SN2003dh","10:44:50.030,10:44:50.01,10:44:50.009,10:44:50.018","+21:31:18.15,+21:31:17.8,+21:31:17.80,+21:31:17.89","0.1685","Ic BL","2781","16"
"SN2002ap","01:36:23.85,01:36:23.851,01:36:23.87","+15:45:13.2,+15:45:13.21,+15:45:13.0","0.002108","Ic BL","1781","39"
"SN2015bn","11:33:41.57,11:33:41.550,11:33:41.52","+00:43:32.2,+00:43:33.50,+00:43:32.3,+00:43:33.46","0.1136","Ic","893","38"
"SN2007gr","02:43:27.98,02:43:27.979","+37:20:44.7,+37:20:44.70","0.0017,0.0017","Ic","768","45"
"SN2016coi","21:59:04.08,21:59:04.14,21:59:04.100,21:59:04.140,21:59:04.1376","+18:11:10.68,+18:11:10.5,+18:11:10.70,+18:11:10.46,+18:11:10.3308,+18:11:11.04","0.003646,0.003646","Ic BL","721",""
"SN2006jc","09:17:20.78,09:17:20.88,09:17:20.779","+41:54:32.7,+41:54:32.76,+41:54:32.69","0.005574","Ibn","694","75"
"SN1999ex","22:16:07.27,22:16:07.270","-36:50:53.7,-36:50:53.70","0.0114","Ib","630","9"
"SN1998bw","19:35:03.17,19:35:03.310,19:35:03.31,19:27:38.4","-52:50:46.1,-52:50:44.81,-52:50:46.65,-53:06:36","0.0085,0.0085,0.0085","Ic BL","527","30"
"SN2017ein","11:52:53.250,11:52:53.28","+44:07:26.11,+44:07:26.20,+44:07:26.04","0.002699","Ic","447","1"
"SN2006aj","03:21:39.670,03:21:39.71,03:21:39.710,03:21:31.2","+16:52:02.27,+16:52:02.6,+16:52:02.60,+16:54:36","0.033023","Ic BL","424","45"
"SN2009bb","10:31:33.92,10:31:33.87,10:31:33.871","-39:57:28.2,-39:57:30.0,-39:57:29.99","0.0104","Ic BL","408","11"
"SN2005hg","01:55:41.87,01:55:41.870","+46:47:47.4,+46:47:47.40","0.021","Ib","392","21"
"SN2013ge","10:34:48.46,10:34:48.461","+21:39:41.9,+21:39:41.90","0.004356","Ic","381","40"
"SN1994I","13:29:54.072,13:29:54.010,13:29:54.01,13:29:54.07","+47:11:30.50,+47:11:31.70,+47:11:31.7,+47:11:30.5","0.00156,0.00188","Ic","365","43"
"SN2006fo","02:32:38.89,02:32:38.88,02:32:38.890","+00:37:03.0,+00:37:03,+00:37:03.036,+00:37:03.0288,+00:37:02.7372,+00:37:03.00","0.020709","Ib","337","8"
"SN2011bm","12:56:53.89,12:56:53.890,12:56:53.88,12:56:53.94","+22:22:28.2,+22:22:28.20,+22:22:28.1","0.022","Ic","309","17"
"SN2014L","12:18:48.68,12:18:48.679,12:18:48.72","+14:24:43.5,+14:24:43.49,+14:24:43.4","0.008029","Ic","306","20"
"SN2004gk","12:25:33.21,12:25:33.230","+12:15:39.9,+12:15:40.10","-0.00055","Ic","274","37"
"SN2010gx","11:25:46.71,11:25:46.711,11:25:46.73","-08:49:41.4,-08:49:41.41,-08:49:41.9","0.2297,0.2301","SLSN-I","260","14"
"SN2004aw","11:57:50.24,11:57:50.239","+25:15:55.1,+25:15:55.12","0.016","Ic","259","40"
"SN2004gt","12:01:50.37,12:01:50.371","-18:52:12.7,-18:52:12.68","0.005477","Ic","244","16"
"SN2005mf","09:08:42.33,09:08:42.24,09:08:42.329,09:08:42.97","+44:48:51.4,+44:48:51.48,+44:48:51.41,+44:48:46.0","0.02675,0.027","Ic","216","6"
"SN2011kg","01:39:45.51,01:39:45.509,01:39:45.50,01:39:45.528","+29:55:27.0,+29:55:27.01,+29:55:27.43","0.1924","SLSN-I","212","12"
"PTF15dtg","02:30:20.05","+37:14:06.7","0.0524","Ic","209",""
"SN2005kl","12:24:35.68,12:24:35.681","+39:23:03.5,+39:23:03.52","0.003486","Ic","202","8"
"CSS121015:004244+132827","00:42:44.380,00:42:44.00,00:42:44","+13:28:26.20,+13:28:27.0,+13:28:27","0.2868","SLSN-II","202","27"
"PTF12gzk","22:12:41.53","+00:30:43.1","0.01377","Ic Pec","200","69"
"SN2011ke","13:50:57.77,13:50:57.79,13:50:57.790,13:50:57.798","+26:16:42.8,+26:16:42.2,+26:16:42.20,+26:16:42.44","0.1428","SLSN-I","195","16"
"SN2007I","11:59:13.15,11:59:13.2,11:59:13.150","-01:36:18.9,-01:36:19.08,-01:36:18.90","0.021638","Ic BL","183","7"
"SN1990B","12:36:33.86,12:36:33.84,12:36:33.83,12:36:33.869,12:36:33.87","+11:14:29.9,+11:14:29.76,+11:14:29.83,+11:14:30.08,+11:14:30.1,+11:14:29.8","0.00744,0.0075","Ic","180","22"
"SN2010md","16:37:47.00,16:37:47.04,16:37:47.040,16:37:47.074","+06:12:32.3,+06:12:32.29,+06:12:31.83","0.0987,0.0982","SLSN-I","180","20"
"SN2005em","03:13:47.74,03:13:47.712,03:13:47.736,03:13:47.71,03:13:47.710","-00:14:37.0,-00:14:36.96,-00:14:37.0284,-00:14:37.3344,-00:14:37.00","0.02517,0.0252","Ic Pec","177","1"
"SN2014ad","11:57:44.44,11:57:44.4,11:57:44.441","-10:10:15.7,-10:10:16,-10:10:15.71,-10:10:15.6","0.0057","BL-Ic","173","4"
"SN2004fe","00:30:11.27,00:30:11.270","+02:05:23.5,+02:05:23.50","0.018,0.018","Ic","169","12"
"SN2012bz","09:07:38.38,09:07:38.381,09:07:39.6","+14:01:07.5,+14:01:07.50,+13:58:26.4","0.283","Ic BL","160","5"
"SN2005az","13:05:46.97,13:05:46.970","+27:44:08.4,+27:44:08.41","0.0085","Ic","159","22"
"SN2006lc","22:44:24.48,22:44:24.451,22:44:24.45","-00:09:53.5,-00:09:53.532,-00:09:53.514,-00:09:54.1404,-00:09:53.89,-00:09:53.9","0.016104","Ib","159","8"
"SN2007ru","23:07:23.19,23:07:23.141","+43:35:34.1,+43:35:33.68","0.0155","Ic BL","159","5"
"SN2006gi","10:16:46.76,10:16:46.759","+73:26:26.4,+73:26:26.41","0.0094,0.0094","Ib","158","1"
"SN1962L","02:43:40,00:00:00.000,02:43:42.7,02:43:40.94","+01:23.9,+01:23:52.0,+01:23:49.7","0.004","Ic","154","1"
"SN2012hn","06:42:42.55,06:42:42.6,06:42:42.550,06:42:42.48","-27:26:49.8,-27:26:50,-27:26:49.81,-27:26:49.92","0.0076","Ic Pec","151","9"
"SN2006ir","23:04:35.68,23:04:35.681","+07:36:21.5,+07:36:21.49","0.02,0.02","Ic","146","1"
"SN2007iq","06:13:32.33,06:13:32.330","+69:43:49.2,+69:43:49.19","0.0133","Ic/Ic-BL","146","2"
"SN2004ff","04:58:46.19,04:58:46.190","-21:34:12.0,-21:34:12.00","0.023","IIb","138","3"
"SN2007bi","13:19:20.19,13:19:20.190,13:19:20.191","+08:55:44.3,+08:55:44.33,+08:55:44.29","0.1279","SLSN-I","135","4"
"SN2005nb","12:13:37.61,12:13:37.610","+16:07:16.2,+16:07:16.21","0.024","Ic BL","122","1"
"SN2007rz","04:31:10.84,04:31:10.841","+07:37:51.5,+07:37:51.49","0.013,0.013","Ic","121","2"
"SN2005aw","19:15:17.44,19:15:17.441","-54:08:24.9,-54:08:24.90","0.0095","Ic","117",""
"PTF09atu","16:30:24.55,16:30:24.553","+23:38:25.0,+23:38:25.43","0.5015","SLSN-I","113","9"
"SN2005at","19:09:53.57,19:09:53.570,19:09:53.62","-63:49:22.8,-63:49:22.80,-63:49:24.1","0.0028","Ic","112",""
"LSQ14efd","03:35:38.76","-58:52:38.3","0.08","Ic","108",""
"ASASSN-15no","15:38:25.30,15:38:25.44","+46:54:06.6,+46:54:06.12","0.043","Ic","106",""
"SN2004dn","02:35:37.30,02:35:37.301","+37:37:54.2,+37:37:54.19","0.0126","Ic","105","8"
"SN2009ca","21:26:22.20,21:26:22.200","-40:51:48.6,-40:51:48.60","0.0899","Ic","98",""
"SN2012ap","05:00:13.72,05:00:13.721","-03:20:51.2,-03:20:51.22","0.01224","Ic BL","94","19"
"SN2017dio","11:36:27.770,11:36:27.760","+18:17:47.46,+18:17:46.92","0.037,0.037","Ic","85","1"
"SN2007D","03:18:38.71,03:18:38.710","+37:36:26.4,+37:36:26.39","0.023,0.023","Ic BL","82","4"
"SN2003id","02:21:35.70,02:21:35.700","-05:31:51.0,-05:31:50.99","0.0076,0.0076","Ic Pec","81","2"
"SN2007ce","12:10:17.96,12:10:17.959","+48:43:31.5,+48:43:31.51","0.046,0.046","Ic BL","81","11"
"SN2007cl","17:48:21.19,17:48:21.190","+54:09:05.2,+54:09:05.18","0.0222","Ic","81","6"
"PTF12hni","22:31:55.86","-06:47:49.0","0.1056","Ic","80","3"
"SN2008hh","01:26:03.65,01:26:03.650","+11:26:26.5,+11:26:26.48","0.0194","Ic","79",""
"SN2013dg","13:18:41.35,13:18:41.350,13:18:41.28","-07:04:43.0,-07:04:43.00,-07:04:42.96","0.265","Super-Luminous Ic","77","7"
"SN2009dt","22:10:09.18,22:10:09.27,22:10:09.271","-36:05:44.2,-36:05:42.6,-36:05:42.61","0.0104","Ic","76",""
"SN2016G","03:03:57.700,03:03:57.74,03:03:57.696","+43:24:03.60,+43:24:03.5,+43:24:03.6","0.009146","Ic BL","76","1"
"PS1-12bqf","02:24:54.621","-04:50:22.72","0.522","Ic","75",""
"SN1997ef","07:57:02.87,07:57:02.88,07:57:02.870,07:57:02.82","+49:33:41.3,+49:33:40.32,+49:33:41.29,+49:33:40.2","0.01168,0.012","Ic BL","73","37"
"SN2003bg","04:10:59.42,04:10:59.424,04:10:59.419,04:10:59.428","-31:24:50.3,-31:24:50.4,-31:24:50.29,-31:24:50.39","0.00456,0.00436","IIb","73","14"
"SN2005bj","16:49:44.74,16:49:44.741","+17:51:48.7,+17:51:48.71","0.022,0.022","Ic","73","1"
"LSQ14an","12:53:47.83","-29:31:27.2","0.163","SLSN-I","72","27"
"SN2015K","23:35:52.26,23:35:52.260,23:35:52.32","+23:36:52.1,+23:36:52.09,+23:36:51.84","0.010184","Ic","70",""
"SN2006ck","13:09:40.42,13:09:40.32,13:09:40.421","-01:02:57.2,-01:02:57.12,-01:02:57.19","0.02443,0.024","Ic","69","11"
"SN2010bh","07:10:31.8,07:10:31.800,07:10:31.80","-56:15:20.2,-56:15:20.20","0.0593","Ic BL","69","16"
"SN2007hb","02:08:34.02,02:08:34.08,02:08:34.020,02:33:41.90,02:33:41.898,02:33:41.899","+29:14:14.3,+29:14:13.9,+29:14:14.32,+37:40:08.2,+37:40:08.12,+37:40:08.18","0.035184","Ic","68","5"
