,Name,Type,R.A.,Dec.,z,Phot.
2,SN2015bn,Ic,"11:33:41.57,11:33:41.550,11:33:41.52","+00:43:32.2,+00:43:33.50,+00:43:32.3,+00:43:33.46",0.1136,893.0
3,SN2007gr,Ic,"02:43:27.98,02:43:27.979","+37:20:44.7,+37:20:44.70","0.0017,0.0017",768.0
8,SN2017ein,Ic,"11:52:53.250,11:52:53.28","+44:07:26.11,+44:07:26.20,+44:07:26.04",0.002699,447.0
12,SN2013ge,Ic,"10:34:48.46,10:34:48.461","+21:39:41.9,+21:39:41.90",0.004356,381.0
13,SN1994I,Ic,"13:29:54.072,13:29:54.010,13:29:54.01,13:29:54.07","+47:11:30.50,+47:11:31.70,+47:11:31.7,+47:11:30.5","0.00156,0.00188",365.0
15,SN2011bm,Ic,"12:56:53.89,12:56:53.890,12:56:53.88,12:56:53.94","+22:22:28.2,+22:22:28.20,+22:22:28.1",0.022,309.0
16,SN2014L,Ic,"12:18:48.68,12:18:48.679,12:18:48.72","+14:24:43.5,+14:24:43.49,+14:24:43.4",0.008029,306.0
17,SN2004gk,Ic,"12:25:33.21,12:25:33.230","+12:15:39.9,+12:15:40.10",-0.00055,274.0
19,SN2004aw,Ic,"11:57:50.24,11:57:50.239","+25:15:55.1,+25:15:55.12",0.016,259.0
20,SN2004gt,Ic,"12:01:50.37,12:01:50.371","-18:52:12.7,-18:52:12.68",0.005477,244.0
21,SN2005mf,Ic,"09:08:42.33,09:08:42.24,09:08:42.329,09:08:42.97","+44:48:51.4,+44:48:51.48,+44:48:51.41,+44:48:46.0","0.02675,0.027",216.0
23,PTF15dtg,Ic,02:30:20.05,+37:14:06.7,0.0524,209.0
24,SN2005kl,Ic,"12:24:35.68,12:24:35.681","+39:23:03.5,+39:23:03.52",0.003486,202.0
29,SN1990B,Ic,"12:36:33.86,12:36:33.84,12:36:33.83,12:36:33.869,12:36:33.87","+11:14:29.9,+11:14:29.76,+11:14:29.83,+11:14:30.08,+11:14:30.1,+11:14:29.8","0.00744,0.0075",180.0
33,SN2004fe,Ic,"00:30:11.27,00:30:11.270","+02:05:23.5,+02:05:23.50","0.018,0.018",169.0
35,SN2005az,Ic,"13:05:46.97,13:05:46.970","+27:44:08.4,+27:44:08.41",0.0085,159.0
