"Name","R.A.","Dec.","z","Type","Phot.","Spec."
"SN1987A","05:35:28.020,05:35:28,05:35:28.01,05:35:27.989,05:35:27.99","-69:16:11.07,-69:16:11,-69:16:11.61,-69:16:11.50,-69:16:11.5,-69:16:11.6","9.51e-06,9.78e-06,1.02e-05,1.06e-05,1.07e-05,1.11e-05,1.12e-05,1.13e-05,1.14e-05,1.15e-05,1.16e-05,1.17e-05,1.19e-05,1.22e-05","II Pec","3332","36"
"CSS141118:092034+504148","09:20:34.300,09:20:34.38,09:20:34.26,09:20:34.32","+50:41:46.60,+50:41:47.7,+50:41:48.4,+50:41:46.68","0.0344","II P","1904","63"
"SN1993J","09:55:24.7747,09:55:24.95,09:55:25.001,09:55:25.00","+69:01:13.702,+69:01:13.38,+69:01:13.01,+69:01:13.0,+69:01:13.4","-0.000113","IIb","1838","100"
"SN2009ip","22:23:08.3,22:23:08.26,22:23:08.261","-28:56:52,-28:56:52.4,-28:56:52.40","0.005944","IIn","1581","240"
"SN2011dh","13:30:05.1055,13:30:05.12,13:30:05.119,13:30:05.124","+47:10:10.922,+47:10:11.3,+47:10:10.81,+47:10:11.301","0.001638","IIb","1432","76"
"SN2013ej","01:36:48.16,01:36:48.161","+15:45:31.0,+15:45:31.00","0.002192","II-P/L","1316","114"
"SN2012aw","10:43:53.735,10:43:53.752,10:43:53.76,10:43:53.760,10:43:53.72","+11:40:17.63,+11:40:17.89,+11:40:17.9,+11:40:17.90,+11:40:17.7","0.002595","II P","1301","49"
"SN1999em","04:41:27.04,04:41:27.168,04:41:27.13,04:41:27.041,04:41:27.05","-02:51:45.2,-02:51:45.828,-02:51:45.4,-02:51:45.22,-02:51:45.8","0.002392","II P","1207","82"
"ASASSN-14ha","04:20:01.41,04:20:01.416","-54:56:17.0,-54:56:17.16","0.005017","II","995","10"
"SN2010jl","09:42:53.33,09:42:53.28,09:42:53.330","+09:29:41.8,+09:29:42.144,+09:29:41.78","0.0107","IIn","964","49"
"PTF12hsx","00:55:03.33,00:55:03.328","+42:19:52.0,+42:19:52.01","0.019,0.019","II","870",""
"SN2016bkv","10:18:19.310,10:18:19.31","+41:25:39.30,+41:25:39.3","0.002,0.002","II","865","1"
"SN2004et","20:35:25.33,20:35:25.330,20:35:25.360","+60:07:17.7,+60:07:17.69,+60:07:17.74","0.000909,0.000974,0.000992,0.00102,0.00105,0.00107,0.00121,0.00122,0.00126,0.00132","II","772","39"
"SN2019mh","12:02:36.140,12:02:36.138,12:02:36.24,12:02:36.14","+04:32:58.38,+04:32:58.58,+04:32:58.5,+04:32:58.416,+04:32:58.596","0.018848,0.018848","II","727","1"
"SN2014cx","00:59:47.83,00:59:47.830,00:59:47.832,00:59:48","-07:34:18.6,-07:34:18.59,-07:34:18.588,-07:34:18.84","0.00549","II P","724","4"
"SN2016X","12:55:15.610,12:55:15.50,12:55:15.6","+00:05:59.35,+00:05:59.7","0.004408,0.004408","II P","719","2"
"SN2013ab","14:32:44.49,14:32:44.489","+09:53:12.3,+09:53:12.30","0.00532","II P","648","2"
"SN2008ax","12:30:40.80,12:30:40.800","+41:38:16.1,+41:38:14.5,+41:38:14.50","0.001931","IIb","645","83"
"SN2005cs","13:29:53.37,13:29:52.85,13:29:52.781","+47:10:28.2,+47:10:36.3,+47:10:35.69","0.00137,0.00144,0.00169,0.00172,0.00191,0.00203","II","643","45"
"SN2013fs","23:19:44.70,23:19:44.700,23:19:44.671,23:19:44.67","+10:11:05.0,+10:11:04.40,+10:11:04.49,+10:11:04.5,+10:11:04.3","0.011855","II P","636","24"
"SN2016gkg","01:34:14.40,01:34:14.440,01:34:14.460,01:34:14.448,01:34:14.41","-29:26:24.2,-29:26:24.22,-29:26:25.00,-29:26:24.36","0.0049,0.00492,0.0049","IIb","596","2"
"ASASSN-14dq","21:57:59.97,21:58:00.0","+24:16:08.1,+24:16:08.04","0.010424","II","590",""
"SN2017eaw","20:34:44.240,20:34:44.238,20:34:44.16","+60:11:35.84,+60:11:36.00,+60:11:35.88","0.000133","II P","584","2"
"SN2004dj","07:37:17.02,07:37:17.021,07:37:17.044","+65:35:57.8,+65:35:57.80,+65:35:57.84","0.000456,0.000777,0.000805,0.000816,0.000827,0.000848,0.000888,0.000924,0.000961,0.000983,0.000997,0.000437","II P","554","31"
"SN2006jd","08:02:07.43,08:02:07.430","+00:48:31.5,+00:48:31.50","0.01855,0.018553","IIn","551","18"
"PTF12dam","14:24:46.20,14:24:46.228","+46:13:48.3,+46:13:48.64","0.1073,0.1075","SLSN-I","517","37"
"SN1998S","11:46:06.13,11:46:06.24,11:46:06.11,11:46:06.180,11:46:06.18","+47:28:55.4,+47:28:55.56,+47:28:55.8,+47:28:55.49,+47:28:55.57","0.00302","IIn","495","44"
"iPTF13z","16:02:00.12","+21:14:41.4","0.0328","IIn","493",""
"SN2013df","12:26:29.33,12:26:29.330","+31:13:38.3,+31:13:38.32","0.002388,0.002395","IIb","489","23"
"PTF11iqb","00:34:04.84,00:34:04.836","-09:42:17.9,-09:42:17.92","0.0125,0.0125","IIn","450","1"
"SN2006T","09:54:30.21,09:54:30.211","-25:42:29.3,-25:42:29.30","0.0081,0.0073","IIb","448","7"
"SN2009N","12:31:09.46,12:31:09.470","-08:02:56.3,-08:02:56.29","0.003449","II P","421","59"
"SN2016ija","04:12:07.600,04:12:07.620,04:12:07.608","-32:51:10.48,-32:51:10.93,-32:51:10.44","0.003468,0.003468","II","419","2"
"SN2005kj","08:40:09.18,08:40:09.180","-05:36:02.2,-05:36:02.20","0.016,0.016,0.017","IIn","402","27"
"SN2005ip","09:32:06.42,09:32:06.48,09:32:06.420","+08:26:44.4,+08:26:44.52,+08:26:44.41","0.007138","IIn","401","15"
"SN2017egm","10:19:05.620,10:19:05.52,10:19:05.62","+46:27:14.08,+46:27:14.04,+46:27:14.0","0.030721,0.030721","SLSN-I","384","1"
"SN1999gi","10:18:16.66,10:18:16.661,10:18:16.62","+41:26:28.2,+41:26:28.21,+41:26:28.6","0.001975","II","383","32"
"SN2008am","12:28:36.25,12:28:36.250","+15:34:49.1,+15:34:49.12,+15:34:49.11","0.2338","II","383","7"
"SN2009ib","04:17:40.09,04:17:39.92,04:17:39.919","-62:46:40.3,-62:46:38.7,-62:46:38.71","0.00448,0.00482,0.00534,0.00435","II P","379","12"
"SNhunt151","04:47:30.0","+23:58:56","","LBV to IIn","372",""
"SN2013ai","06:16:18.35,06:16:18.350","-21:22:32.9,-21:22:32.92","0.009","II","348","22"
"SN2013bu","22:37:02.17,22:37:02.170","+34:24:05.2,+34:24:05.18","0.002722","II","345","1"
"SN2008in","12:22:01.77,12:22:01.771","+04:28:47.5,+04:28:47.50","0.005224","II P","343","38"
"SN2005kd","04:03:16.88,04:03:16.879","+71:43:18.9,+71:43:18.91","0.01504","II","342",""
"SN2003gd","01:36:42.65,01:36:42.648,01:36:42.650","+15:44:19.9,+15:44:20.04,+15:44:20.90","0.002192","II P","321","8"
"SN2014cy","23:44:16.03,23:44:16.030","+10:46:12.5,+10:46:12.50","0.005547","II P","321","1"
"SN2012ec","02:45:59.89,02:45:59.87,02:45:59.880","-07:34:25.0,-07:34:24.1,-07:34:27.01","0.004693","II P","317","74"
"SN2014dw","11:10:48.41,11:10:48.410","-37:27:02.2,-37:27:02.20","0.008152","II","315",""
"SN1999br","13:00:41.80,13:00:41.76,13:00:41.82,13:00:41.801","+02:29:45.8,+02:29:45.96,+02:29:45.816,+02:29:45.4,+02:29:45.82","0.003201,0.003406","II P","313","17"
"SN2018zd","06:18:03.190,06:18:03.180,06:18:03.192","+78:22:01.16,+78:22:00.90,+78:22:01.2","0.002979,0.002979","II","309","1"
"PS15blq","17:31:42.37,17:31:42.40,17:31:42.48","+43:53:34.1,+43:53:33.9,+43:53:33.72","0.125","IIn","301",""
"SN2007od","23:55:48.68,23:55:48.679","+18:24:54.8,+18:24:54.79","0.00586,0.00622,0.00715,0.00586","II P","296","42"
"SN2012P","14:59:59.12,14:59:59.119,14:59:59.04","+01:53:24.4,+01:53:24.40,+01:53:25.1","0.004533,0.004479","Ib/c","284","1"
"SN2006qq","05:19:50.30,05:19:50.43,05:19:50.429","-20:58:06.4,-20:58:06.38","0.029,0.029","IIn","280","13"
"SN2015W","06:57:43.03,06:57:43.030","+13:34:45.7,+13:34:45.70","0.013","II","280","1"
"SN2007ld","20:49:29.59,20:49:29.6,20:49:29.52,20:49:29.590","+00:00:14.0,+00:00:14,+00:00:13.8,+00:00:14.00","0.025,0.027","II","276","9"
"SN1999cr","13:20:18.34,13:20:18.24,13:20:18.30,13:20:18.300","-20:08:52.0,-20:08:50.64,-20:08:50.5,-20:08:50.50","0.02023,0.02126","II P","270","5"
"SN2010id","23:05:48.88,23:05:48.879,23:05:49.04,23:05:49.039","+03:31:25.5,+03:31:25.54,+03:31:20.6,+03:31:20.60","0.0165","II","263","4"
"SN2008S","20:34:45.35,20:34:45.350","+60:05:57.8,+60:05:57.80","0.00016","IIn-pec/LBV","260","11"
"SN1979C","12:22:58.58,12:22:58.63,12:22:58.630","+15:47:52.7,+15:47:51.74,+15:47:51.68,+15:47:51.7","0.00455,0.00373,0.00405,0.00448,0.00455","II","260","4"
"SN1999ca","10:05:22.95,10:05:22.8,10:05:22.92,10:05:22.920","-34:12:41.0,-34:12:41.4,-34:12:41.3,-34:12:41.29","0.00931,0.01037","II P","259","5"
"ASASSN-15nx","04:43:53.19,04:43:53.184","-09:42:11.2,-09:42:11.232","0.026","II Pec","254","1"
"SN2007pk","01:31:47.07,01:31:47.069","+33:36:54.1,+33:36:54.11","0.016655","IIn","253","18"
"SN1994Y","13:55:36.90,13:55:36.86,13:55:36.910,13:55:36.91","+40:27:53.4,+40:27:53.17,+40:27:53.60,+40:27:53.6,+40:27:53.2","0.0085,0.0085","II","249","8"
"SN2000cb","16:01:32.15,16:01:32.16,16:01:32.150","+01:42:23.0,+01:42:23.004,+01:42:23.00","0.00643","II P Pec","241","15"
"SN2011fu","02:08:21.41,02:08:21.410,02:08:21.40","+41:29:12.3,+41:29:12.30","0.018489","IIb","239","44"
"SN2011hs","22:57:11.77,22:57:11.770","-43:23:04.8,-43:23:04.81","0.0057","IIb","228","23"
