number,bal_score,diag,KronRad (kpc),separation (kpc),area (kpc^2),sep/area (kpc),x,y,KronMag,Abs. Mag,Angle,Ellipticity,RA,Host RA,DEC,Host Dec,Discrepency (arcsecs),Z,SDSS Photoz,pixelRank,chance coincidence
1,0.35,5,x,,,,,,,,,,,,,,,,,,
2,0.20,2,,x,,,,,,,,,,,,,,,,,
3,0.33,5,x,x,,,,,,,,,,,,,,,,,
4,0.21,2,,,x,,,,,,,,,,,,,,,,
5,0.33,4,x,,x,,,,,,,,,,,,,,,,
6,0.31,5,,x,x,,,,,,,,,,,,,,,,
7,0.34,5,x,x,x,,,,,,,,,,,,,,,,
8,0.27,5,,,,,,,,x,,,,,,,,,,,
9,0.37,4,x,,,,,,,x,,,,,,,,,,,
10,0.27,4,,x,,,,,,x,,,,,,,,,,,
11,0.31,3,x,x,,,,,,x,,,,,,,,,,,
12,0.38,6,,,x,,,,,x,,,,,,,,,,,
13,0.33,3,x,,x,,,,,x,,,,,,,,,,,
14,0.33,4,,x,x,,,,,x,,,,,,,,,,,
15,0.30,4,x,x,x,,,,,x,,,,,,,,,,,
16,0.22,4,,,,,,,,,,x,,,,,,,,,
17,0.39,7,x,,,,,,,,,x,,,,,,,,,
18,0.26,6,,x,,,,,,,,x,,,,,,,,,
19,0.35,7,x,x,,,,,,,,x,,,,,,,,,
20,0.23,2,,,x,,,,,,,x,,,,,,,,,
21,0.36,4,x,,x,,,,,,,x,,,,,,,,,
22,0.25,3,,x,x,,,,,,,x,,,,,,,,,
23,0.32,4,x,x,x,,,,,,,x,,,,,,,,,
24,0.24,3,,,,,,,,x,,x,,,,,,,,,
25,0.31,5,x,,,,,,,x,,x,,,,,,,,,
26,0.24,2,,x,,,,,,x,,x,,,,,,,,,
27,0.30,4,x,x,,,,,,x,,x,,,,,,,,,
28,0.27,5,,,x,,,,,x,,x,,,,,,,,,
29,0.32,3,x,,x,,,,,x,,x,,,,,,,,,
30,0.24,2,,x,x,,,,,x,,x,,,,,,,,,
31,0.28,2,x,x,x,,,,,x,,x,,,,,,,,,
32,0.43,8,,,,,,,,,,,,,,,,x,,,
33,0.34,5,x,,,,,,,,,,,,,,,x,,,
34,0.40,7,,x,,,,,,,,,,,,,,x,,,
35,0.33,5,x,x,,,,,,,,,,,,,,x,,,
36,0.37,6,,,x,,,,,,,,,,,,,x,,,
37,0.32,3,x,,x,,,,,,,,,,,,,x,,,
38,0.38,5,,x,x,,,,,,,,,,,,,x,,,
39,0.35,4,x,x,x,,,,,,,,,,,,,x,,,
40,0.38,5,,,,,,,,x,,,,,,,,x,,,
41,0.39,5,x,,,,,,,x,,,,,,,,x,,,
42,0.39,4,,x,,,,,,x,,,,,,,,x,,,
43,0.35,4,x,x,,,,,,x,,,,,,,,x,,,
44,0.34,5,,,x,,,,,x,,,,,,,,x,,,
45,0.36,4,x,,x,,,,,x,,,,,,,,x,,,
46,0.36,4,,x,x,,,,,x,,,,,,,,x,,,
47,0.35,4,x,x,x,,,,,x,,,,,,,,x,,,
48,0.38,5,,,,,,,,,,x,,,,,,x,,,
49,0.32,4,x,,,,,,,,,x,,,,,,x,,,
50,0.35,5,,x,,,,,,,,x,,,,,,x,,,
51,0.31,4,x,x,,,,,,,,x,,,,,,x,,,
52,0.39,5,,,x,,,,,,,x,,,,,,x,,,
53,0.35,3,x,,x,,,,,,,x,,,,,,x,,,
54,0.35,3,,x,x,,,,,,,x,,,,,,x,,,
55,0.34,3,x,x,x,,,,,,,x,,,,,,x,,,
56,0.42,6,,,,,,,,x,,x,,,,,,x,,,
57,0.37,6,x,,,,,,,x,,x,,,,,,x,,,
58,0.36,5,,x,,,,,,x,,x,,,,,,x,,,
59,0.36,6,x,x,,,,,,x,,x,,,,,,x,,,
60,0.41,7,,,x,,,,,x,,x,,,,,,x,,,
61,0.34,3,x,,x,,,,,x,,x,,,,,,x,,,
62,0.34,4,,x,x,,,,,x,,x,,,,,,x,,,
63,0.33,3,x,x,x,,,,,x,,x,,,,,,x,,,
64,0.40,4,,,,,,,,,,,,,,,,,,x,
65,0.41,6,x,,,,,,,,,,,,,,,,,x,
66,0.34,4,,x,,,,,,,,,,,,,,,,x,
67,0.37,6,x,x,,,,,,,,,,,,,,,,x,
68,0.35,6,,,x,,,,,,,,,,,,,,,x,
69,0.36,5,x,,x,,,,,,,,,,,,,,,x,
70,0.37,7,,x,x,,,,,,,,,,,,,,,x,
71,0.36,5,x,x,x,,,,,,,,,,,,,,,x,
72,0.38,6,,,,,,,,x,,,,,,,,,,x,
73,0.37,5,x,,,,,,,x,,,,,,,,,,x,
74,0.36,4,,x,,,,,,x,,,,,,,,,,x,
75,0.33,5,x,x,,,,,,x,,,,,,,,,,x,
76,0.38,6,,,x,,,,,x,,,,,,,,,,x,
77,0.38,6,x,,x,,,,,x,,,,,,,,,,x,
78,0.35,7,,x,x,,,,,x,,,,,,,,,,x,
79,0.32,6,x,x,x,,,,,x,,,,,,,,,,x,
80,0.31,5,,,,,,,,,,x,,,,,,,,x,
81,0.38,6,x,,,,,,,,,x,,,,,,,,x,
82,0.27,3,,x,,,,,,,,x,,,,,,,,x,
