ID,KronRad (kpc)_3,separation (kpc)_3,area (kpc^2)_3,sep/area (kpc)_3,x_3,y_3,KronMag_3,Abs. Mag_3,Angle_3,Ellipticity_3,RA_3,Host RA_3,DEC_3,Host Dec_3,Discrepency (arcsecs)_3,Z_3,SDSS Photoz_3,pixelRank_3,chance coincidence_3,KronRad (kpc)_4,separation (kpc)_4,area (kpc^2)_4,sep/area (kpc)_4,x_4,y_4,KronMag_4,Abs. Mag_4,Angle_4,Ellipticity_4,RA_4,Host RA_4,DEC_4,Host Dec_4,Discrepency (arcsecs)_4,Z_4,SDSS Photoz_4,pixelRank_4,chance coincidence_4,KronRad (kpc)_5,separation (kpc)_5,area (kpc^2)_5,sep/area (kpc)_5,x_5,y_5,KronMag_5,Abs. Mag_5,Angle_5,Ellipticity_5,RA_5,Host RA_5,DEC_5,Host Dec_5,Discrepency (arcsecs)_5,Z_5,SDSS Photoz_5,pixelRank_5,chance coincidence_5,KronRad (kpc)_6,separation (kpc)_6,area (kpc^2)_6,sep/area (kpc)_6,x_6,y_6,KronMag_6,Abs. Mag_6,Angle_6,Ellipticity_6,RA_6,Host RA_6,DEC_6,Host Dec_6,Discrepency (arcsecs)_6,Z_6,SDSS Photoz_6,pixelRank_6,chance coincidence_6
310260,4.181553164,30.9266373,73.13528236,0.422868912,-11.72198257,15.55565196,23.57192591,-18.80459149,-0.631477058,0.069817917,36.16972924,0,-5.103227962,0,,0.51,,0,0.246637395,,,,,,,,,,,,,,,,,,,,4.263902471,31.05951412,98.35434524,0.315791987,-11.61638601,15.73882758,22.63521999,-19.74129742,0.636693418,0.053097489,36.16972188,0,-5.103215248,0,,0.51,,0,0.13533828,3.445518898,31.66009274,70.61337607,0.448358293,-12.14815565,15.81179662,23.01064804,-19.36586936,-1.32714951,0.151022693,36.16975894,0,-5.103210165,0,,0.51,,0,0.170591137
80735,4.122434328,3.630392247,74.74403855,0.048570994,1.306765456,-1.588851735,23.93702559,-19.01399085,-1.215127707,0.380330183,333.8735259,0,0.541797997,0,,0.635,,0.4,0.044180793,4.385893941,4.127203797,93.43004819,0.044174266,1.387082464,-1.882990668,23.16612574,-19.7848907,-0.677000999,0.163806654,333.8735203,0,0.541777571,0,,0.635,,0.709677419,0.019132221,4.216768979,4.137146909,143.2594072,0.02887871,1.534218917,-1.772625604,22.49230112,-20.45871532,-0.849059582,0.252010739,333.8735101,0,0.541785235,0,,0.635,,0.85106383,0.013303596,5.437458321,4.900614457,152.602412,0.032113611,1.865730583,-2.056869503,21.75622451,-21.19479193,-0.937364459,0.291938646,333.8734871,0,0.541765496,0,,0.635,,0.56,0.028760264
110484,,,,,,,,,,,,,,,,,,,,4.523393227,29.22284481,35.30668804,0.827685813,-13.1663543,12.86118438,24.16088067,-18.21563673,-0.542632818,0.401406817,129.1872277,0,44.5556447,0,,0.51,,0,0.326967152,4.149904521,28.29665334,52.96003205,0.534302043,-12.93269085,12.26281229,23.72223084,-18.65428657,0.76027751,0.236763518,129.187206,0,44.55560288,0,,0.51,,0,0.236557791,4.149904521,28.29665334,52.96003205,0.534302043,-12.93269085,12.26281229,23.48646996,-18.89004744,0.76027751,0.236763518,129.187206,0,44.55560288,0,,0.51,,0.104166667,0.202000649
520041,3.964681767,3.338940311,113.3527351,0.029456195,-2.020323029,0.227772106,23.17406705,-19.37560014,-1.34487462,0.043333535,184.138589,184.1385125,45.96205899,45.96211611,0.280960106,0.545,0.501091,0.697674419,0.02152032,4.110692374,3.740619014,232.1032194,0.016116188,-2.272409148,0.154948083,21.79390662,-20.75576058,0.42018798,0.043939891,184.1386143,184.1385125,45.96205413,45.96211611,0.338588911,0.545,0.501091,0.816091954,0.013260261,3.894027389,3.476005102,340.0582052,0.010221795,-2.104817463,0.222823871,21.07994671,-21.46972048,-0.340247989,0.087807917,184.1385974,184.1385125,45.96205871,45.96211611,0.296464811,0.545,0.501091,0.866141732,0.006855339,3.625248081,3.794634343,277.9840884,0.013650545,-2.309146012,0.08078897,20.94548721,-21.60417998,0.486821622,0.097516235,184.138618,184.1385125,45.96204901,45.96211611,0.357876528,0.545,0.501091,0.836538462,0.004028302
160287,3.717203522,6.644961916,199.2305968,0.03335312,-1.210723746,-4.006088335,22.39696414,-19.97955326,1.208857179,0.258536145,212.8754376,0,52.48295309,0,,0.51,0.480042,0.25,0.025954065,3.25385964,6.041182374,600.2136966,0.010065053,-1.241740568,-3.596429965,20.69598809,-21.68052932,1.485313058,0.235560617,212.8754407,0,52.48298155,0,,0.51,0.480042,0.677824268,0.007044222,3.881910071,6.330945992,1149.989267,0.005505222,-1.219944101,-3.796055586,19.46844441,-22.90807299,1.519361973,0.276004998,212.8754384,0,52.48296768,0,,0.51,0.480042,0.881838074,0.00723,3.804546057,6.016007855,923.0177015,0.00651776,-1.347275091,-3.541268839,19.06172911,-23.31478829,1.476825833,0.297896617,212.8754527,0,52.48298544,0,,0.51,0.480042,0.839237057,0.003680546
120086,3.849795779,0.819434308,17.24004226,0.047530876,0.372264576,-0.460481801,24.07230193,-17.67714354,-0.221872017,0.135185657,150.788995,0,2.14335415,0,,0.4,,0.052631579,0.010893601,3.849795779,0.819434308,17.24004226,0.047530876,0.372264576,-0.460481801,24.55300091,-17.19644456,-0.221872017,0.135185657,150.788995,0,2.14335415,0,,0.4,,0,0.015658704,3.849795779,0.819434308,17.24004226,0.047530876,0.372264576,-0.460481801,24.93469987,-16.81474559,-0.221872017,0.135185657,150.788995,0,2.14335415,0,,0.4,,0,0.020872135,3.849795779,0.819434308,17.24004226,0.047530876,0.372264576,-0.460481801,24.60104807,-17.1483974,-0.221872017,0.135185657,150.788995,0,2.14335415,0,,0.4,,0,0.016236196
310188,4.367094834,22.9522846,421.7016029,0.054427786,-10.13434817,-16.22872078,19.7488132,-21.43469576,1.172395468,0.123557879,35.27834251,35.27830417,-4.520771931,-4.520702778,0d00m00.2845s,0.32,0.356968,0,0.073294734,4.061013567,23.22674615,777.1974935,0.029885256,-10.40007586,-16.33163485,18.46211573,-22.72139323,-1.094153762,0.150764218,35.27836102,35.27830417,-4.520779092,-4.520702778,0.342201466,0.32,0.356968,0.003696858,0.027668201,3.841757547,23.05273529,1017.553015,0.022655071,-10.31200541,-16.21574293,17.9297545,-23.25375446,-0.840459704,0.105037239,35.27835489,35.27830417,-4.52077104,-4.520702778,0.305816411,0.32,0.356968,0,0.018328128,3.882148077,23.11220293,905.2911544,0.025530132,-10.43498415,-16.19588446,17.65984538,-23.52366358,-1.193162203,0.050711316,35.27836345,35.27830417,-4.520769668,-4.520702778,0.321338981,0.32,0.356968,0.003174603,0.014371772
470240,3.758445027,7.086551712,35.49116256,0.199670881,0.834010522,-4.836915731,22.47527583,-19.45968837,1.280121207,0.5551108,130.722866,0,45.90102834,0,,0.43,,0,0.021079451,4.429273662,6.062018352,12.52629267,0.483943535,0.232936592,-4.192233027,22.86913841,-19.06582579,-1.238098264,0.583561379,130.7229261,0,45.90107301,0,,0.43,,0.018987342,0.013163009,3.758445027,7.086551712,35.49116256,0.199670881,0.834010522,-4.836915731,23.38442428,-18.55053993,1.280121207,0.5551108,130.722866,0,45.90102834,0,,0.43,,0.111111111,0.041619611,4.429273662,6.062018352,12.52629267,0.483943535,0.232936592,-4.192233027,23.77899791,-18.15596629,-1.238098264,0.583561379,130.7229261,0,45.90107301,0,,0.43,,0,0.026106659
120044,3.563455926,2.049976765,42.54677384,0.04818172,0.156608961,-1.324563501,23.94001638,-18.27901167,1.06291759,0.209726805,148.791935,0,1.730155258,0,,0.48,,0.097560976,0.018370067,3.563455926,2.049976765,42.54677384,0.04818172,0.156608961,-1.324563501,24.13364323,-18.08538482,1.06291759,0.209726805,148.791935,0,1.730155258,0,,0.48,,0,0.021250618,3.618594346,3.053914458,35.45564487,0.086133378,0.750814348,-1.839812425,24.1975122,-18.02151585,-0.304761261,0.174886761,148.7918938,0,1.730119461,0,,0.48,,0.0625,0.030888358,3.69451595,3.241004434,28.3645159,0.114262639,0.303292988,-2.086802914,23.87439065,-18.3446374,1.535125494,0.113558311,148.7919249,0,1.730102334,0,,0.48,,0,0.019074865
100358,3.446762863,6.489444638,23.51800409,0.275935178,4.18303512,-2.753749845,24.22417934,-17.25681638,-0.841016054,0.749092983,352.4441554,0,0.590314391,0,,0.36,,0,0.067275909,3.01254582,5.223585289,124.3094502,0.042020822,3.47905694,-2.036260454,22.50842033,-18.97257538,0.715618193,0.098645258,352.4442043,0,0.5903642,0,,0.36,,0.226666667,0.025466033,3.55626428,5.13459808,146.1475968,0.035132963,3.114409081,-2.449977816,21.73724805,-19.74374767,1.204512477,0.167754253,352.4442296,0,0.590335478,0,,0.36,,0.693181818,0.041098715,2.822007996,5.325151041,112.5504481,0.047313459,2.990461933,-2.818976925,22.13793158,-19.34306414,-1.172566295,0.109656617,352.4442382,0,0.590309861,0,,0.36,,0.455882353,0.015865663
