ID,KronRad_3,separation_3,x_3,y_3,KronMag_3,Angle_3,Ellipticity_3,RA_3,Host RA_3,DEC_3,Host Dec_3,Discrepency_3,Z_3,Hecto Z_3,KronRad_4,separation_4,x_4,y_4,KronMag_4,Angle_4,Ellipticity_4,RA_4,Host RA_4,DEC_4,Host Dec_4,Discrepency_4,Z_4,Hecto Z_4,KronRad_5,separation_5,x_5,y_5,KronMag_5,Angle_5,Ellipticity_5,RA_5,Host RA_5,DEC_5,Host Dec_5,Discrepency_5,Z_5,Hecto Z_5,KronRad_6,separation_6,x_6,y_6,KronMag_6,Angle_6,Ellipticity_6,RA_6,Host RA_6,DEC_6,Host Dec_6,Discrepency_6,Z_6,Hecto Z_6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460037,2.067704993,0.466319076,-1.501653498,-1.107994934,23.89572377,-0.159288257,0.134903249,54.72708534,54.727,-27.54117277,-27.54111111,3.27E-05,0.303,0.3034,1.766677186,0.480716255,-1.589389822,-1.083932958,23.39747521,-0.683559418,0.043831233,54.72709218,54.727,-27.54117101,-27.54111111,3.27E-05,0.303,0.3034,1.118550164,38.45015612,110.1078956,107.477949,18.55052662,1.266790986,0.042767564,54.71823847,54.727,-27.53373669,-27.54111111,3.27E-05,0.303,0.3034,1.128562921,38.44873445,110.1209575,107.4564308,18.09970636,1.511284351,0.064664588,54.71823747,54.727,-27.5337382,-27.54111111,3.27E-05,0.303,0.3034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460064,2.276850987,0.194776106,-0.777847595,-0.047695169,24.38539723,-1.419457197,0.056885778,53.774273,53.77420833,-26.76494191,-26.76488889,5.01E-05,0.242,0.2428,2.265454607,0.197536144,-0.772688148,-0.166071708,23.79742992,-0.236371517,0.036208675,53.77427265,53.77420833,-26.76495013,-26.76488889,5.01E-05,0.242,0.2428,2.098325239,0.253389453,-0.949651959,-0.354853628,22.78801101,-0.978281081,0.036234937,53.77428649,53.77420833,-26.76496317,-26.76488889,5.01E-05,0.242,0.2428,2.320440193,0.242814762,-0.928948388,-0.284308997,22.7237452,0.780592799,0.146916953,53.77428485,53.77420833,-26.76495828,-26.76488889,5.01E-05,0.242,0.2428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460105,1.73154726,4.814998984,-3.052102258,19.01960313,20.96626471,0.473463953,0.204863927,129.3701674,129.3700792,44.04659584,44.04666528,0.001398996,0.21,0.21,1.621241709,4.831982819,-3.131294993,19.07559112,19.72250127,0.554787993,0.186898456,129.370175,129.3700792,44.04659981,44.04666528,0.001398996,0.21,0.21,1.621196175,4.870026376,-3.17659732,19.2223798,18.38816756,0.614735544,0.188981927,129.3701791,129.3700792,44.04661005,44.04666528,0.001398996,0.21,0.21,1.580897501,4.843537355,-3.216317888,19.10832484,18.16797807,0.548982918,0.180141612,129.3701831,129.3700792,44.04660217,44.04666528,0.001398996,0.21,0.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470001,1.582230421,0.788142417,1.4173075,2.816814344,19.48458407,1.290374637,0.495441125,54.40351175,54.40341667,-27.50453326,-27.50413889,0.0006172,0.094,0.0941,1.584930498,1.151390005,1.371886328,4.397535803,19.08073532,1.21710825,0.487300566,54.40351399,54.40341667,-27.50442348,-27.50413889,0.0006172,0.094,0.0941,1.597213257,1.252246642,1.607590569,4.745158547,17.92350414,1.190104842,0.485516987,54.40349525,54.40341667,-27.50439952,-27.50413889,0.0006172,0.094,0.0941,1.661716425,1.396490622,1.550339612,5.367769184,17.7832717,1.156893611,0.494982033,54.40349922,54.40341667,-27.50435625,-27.50413889,0.0006172,0.094,0.0941
