ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
149.748253477398 3.15451178546538 6 23.92622 22.48312 21.29111 22.55298 nan nan 000010
149.749587360427 3.15754472484472 3 20.00062 19.25955 18.94779 18.84324 0.223635 0.033279 000010
149.747487557826 3.15968042700879 6 22.45441 21.39532 20.93423 20.57617 nan nan 000010
149.745432150328 3.15379639507952 6 20.07145 18.91038 18.40994 18.15041 nan nan 000010
149.744933157543 3.15986658887818 6 25.97628 24.50931 22.75675 23.00541 nan nan 000010
149.743554595016 3.15963720642203 3 24.07296 23.05936 21.69319 21.73383 0.743365 0.094129 000010
149.743133929697 3.15817515883385 6 25.6259 24.34841 22.3687 22.81466 nan nan 000010
149.744108021126 3.15101982190574 3 23.31199 22.24919 21.4345 21.42595 0.457712 0.1174 000010
149.751732492193 3.16248432548098 3 21.45687 20.40434 19.7229 19.34951 0.464062 0.132652 000010
149.756554588521 3.15801115673873 6 23.64494 22.31599 22.19184 22.38524 nan nan 000010
149.74760320602 3.15253057446053 3 22.9202 20.84735 20.4232 20.08655 0.349271 0.048258 000010
149.746396760874 3.15624567602939 6 14.48322 13.74996 13.45752 13.30335 nan nan 000010
149.740788711523 3.16298903173303 3 20.08024 18.83257 18.35141 17.98458 0.194908 0.020163 000010
149.970922986632 2.40600015242323 6 23.87383 22.46339 21.35938 20.7675 nan nan 000011
149.976068735076 2.41060726656723 3 22.75977 21.87623 20.94476 19.97901 0.428141 0.139661 000011
149.976286312129 2.41485700491433 6 24.03508 23.11621 21.90197 21.78003 nan nan 000011
35.8812227688484 -4.62924180082822 6 23.82995 21.80754 20.5275 19.82134 nan nan 000014
35.8788301388731 -4.63630103449342 3 18.8212 18.19942 17.81966 17.62808 0.115851 0.028034 000014
35.8779430505393 -4.63209262065673 6 16.84843 16.18499 15.92569 15.82645 nan nan 000014
35.8798338107615 -4.6318710676091 6 22.33867 18.4257 20.70534 19.90045 nan nan 000014
35.8744729142433 -4.64081478474902 3 23.16309 22.32146 22.12539 21.91909 0.324167 0.115352 000014
35.8757186324627 -4.64457726265947 3 21.67399 20.83265 20.42714 20.25589 0.359668 0.126648 000014
35.8796359860979 -4.64229607211414 3 22.22697 21.25982 20.67269 21.17753 0.382435 0.148227 000014
35.8843494422417 -4.63569259157485 3 21.45144 20.55883 20.24573 20.08039 0.355283 0.094507 000014
36.0592115796415 -3.19210615896988 6 22.7322 22.24995 22.48737 22.41913 nan nan 000034
36.0620138911545 -3.1871296452681 6 17.41056 16.75313 16.53232 16.40634 nan nan 000034
36.0728959989073 -3.18260585733786 3 23.39896 22.38401 21.77202 22.06391 0.547361 0.117119 000034
35.096024850002 -4.67475375274369 3 22.32559 21.38816 21.04626 21.69821 0.732666 0.116514 000038
35.0958321262645 -4.6731061293863 3 20.80265 20.41292 20.19969 20.91685 0.098992 0.053569 000038
35.0957429745513 -4.67143846824941 6 25.42278 23.1794 21.38418 20.94535 nan nan 000038
35.0881300113006 -4.67587940176062 6 23.37844 23.94393 22.20193 22.1634 nan nan 000038
35.0892865140869 -4.675511779857 3 22.08367 21.49299 20.9109 20.62391 0.687903 0.101614 000038
