ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
149.740788698862 3.16298901561749 3 20.08373 18.83087 18.35634 17.99804 0.194908 0.020163 000010
149.743133923095 3.158175150431 6 25.62458 24.34846 22.37219 22.81481 nan nan 000010
149.743554588308 3.15963719788484 3 24.0752 23.05947 21.69682 21.74422 0.743365 0.094129 000010
149.744108010848 3.15101980882435 3 23.31405 22.24983 21.44053 21.4374 0.457712 0.1174 000010
149.744933157543 3.15986658887818 6 25.97429 24.50934 22.76007 23.0032 nan nan 000010
149.745432150328 3.15379639507952 6 20.07625 18.91037 18.41602 18.16375 nan nan 000010
149.746396753145 3.1562456661929 6 14.48802 13.74995 13.46156 13.31714 nan nan 000010
149.747487551056 3.15968041839289 6 22.45739 21.39544 20.9379 20.58937 nan nan 000010
149.747603195672 3.15253056129118 3 22.92234 20.84801 20.42928 20.09973 0.349271 0.048258 000010
149.749587352948 3.15754471532556 3 20.00363 19.25967 18.95183 18.857 0.223635 0.033279 000010
149.74825346974 3.15451177571923 6 23.93005 22.4831 21.29512 22.55636 nan nan 000010
149.751732479538 3.16248430937488 3 21.46036 20.40265 19.72783 19.36293 0.464062 0.132652 000010
149.756554581962 3.15801114839157 6 23.64758 22.3161 22.19539 22.39046 nan nan 000010
149.970922989187 2.40600014769474 6 23.87781 22.46436 21.36236 20.7634 nan nan 000011
149.976068738447 2.41060726032792 3 22.76511 21.87689 20.94809 19.97581 0.428141 0.139661 000011
149.976286314662 2.41485700022594 6 24.0385 23.11786 21.9056 21.7775 nan nan 000011
35.8744729193727 -4.64081477950361 3 23.16545 22.31789 22.12047 21.91026 0.324167 0.115352 000014
35.8757186325205 -4.64457726260045 3 21.67724 20.82743 20.42191 20.24424 0.359668 0.126648 000014
35.8779430661364 -4.63209260470649 6 16.85106 16.18274 15.91931 15.81526 nan nan 000014
35.8788301524357 -4.63630102062364 3 18.82213 18.19741 17.81407 17.61566 0.115851 0.028034 000014
35.8798338263225 -4.63187105169571 6 22.34126 18.42344 20.69898 19.88936 nan nan 000014
35.8812227797417 -4.62924178968808 6 23.83295 21.80418 20.52126 19.81046 nan nan 000014
35.8843494557899 -4.63569257771972 3 21.45237 20.55682 20.24014 20.06812 0.355283 0.094507 000014
35.87963598617 -4.64229607204037 3 22.2302 21.25461 20.66746 21.16674 0.382435 0.148227 000014
36.0592115745544 -3.19210616781856 6 22.73303 22.25176 22.49226 22.41876 nan nan 000034
36.0620138950344 -3.1871296401888 6 17.41657 16.75084 16.52843 16.39803 nan nan 000034
