id,redshift,err
PSc110426,0.64,0.001
PSc130945,0.26,0.001
PSc160214,0.63,0.001
PSc000001,0.126,0.001
PSc000006,0.2308,0.001
PSc000010,0.2447,0.001
PSc000011,0.38,0.001
PSc000014,0.1369,0.001
PSc000034,0.25,0.001
PSc000038,0.15,0.001
PSc000076,0.26,0.001
PSc000091,0.152,0.001
PSc000098,0.057,0.001
PSc000133,0.244,0.001
PSc000137,0.11829,0.001
PSc000142,0.436,0.001
PSc000174,0.244,0.001
PSc000190,0.101,0.001
PSc000196,0.34,0.001
PSc000199,0.37,0.001
PSc000202,0.618,0.001
PSc000215,0.46,0.001
PSc000218,0.093,0.001
PSc000220,0.22,0.001
PSc000236,0.195,0.001
PSc000248,0.183,0.001
PSc000420,0.3097,0.001
PSc010010,0.09841,0.001
PSc010026,0.03123,0.001
PSc010043,0.14,0.001
PSc010163,0.086,0.001
PSc010411,0.074,0.001
PSc010454,0.08082,0.001
PSc020021,0.26,0.001
PSc020027,0.126,0.001
PSc020075,0.156,0.001
PSc020082,0.15,0.001
PSc020090,0.409,0.001
PSc020096,0.23,0.001
PSc020121,0.086,0.001
PSc020132,0.15,0.001
PSc020176,0.26,0.001
PSc020200,0.116,0.001
PSc030006,0.51,0.001
PSc030010,0.092,0.001
PSc030066,0.22,0.001
PSc040111,0.369,0.001
PSc040137,0.447,0.001
PSc040146,0.065,0.001
PSc040150,0.381,0.001
PSc040166,0.443,0.001
PSc040198,0.25,0.001
PSc040201,0.279,0.001
PSc040301,0.373,0.001
PSc040662,0.035,0.001
PSc040780,0.231,0.001
PSc040782,0.336,0.001
PSc050003,0.43,0.001
PSc050005,0.53,0.001
PSc050044,0.27,0.001
PSc050081,0.14,0.001
PSc050088,0.241,0.001
PSc050201,0.55,0.001
PSc050203,0.576,0.001
PSc050221,0.53,0.001
PSc050251,0.387,0.001
PSc050291,0.323,0.001
PSc050293,0.36,0.001
PSc050296,0.36,0.001
PSc050301,0.347,0.001
PSc050303,0.331,0.001
PSc050577,0.459,0.001
PSc050580,0.45,0.001
PSc050581,0.333,0.001
PSc050596,0.379,0.001
PSc050601,0.35,0.001
PSc050607,0.443,0.001
PSc060230,0.127,0.001
PSc060270,0.956,0.001
PSc060284,0.064,0.001
PSc061196,0.059,0.001
PSc070242,0.065,0.001
PSc070291,0.132,0.001
PSc070763,0.259,0.001
PSc070955,0.35,0.001
PSc071072,0.141,0.001
PSc080064,0.066,0.001
PSc080308,0.338,0.001
PSc080333,0.269,0.001
PSc080646,0.33,0.001
PSc080723,0.431,0.001
PSc080735,0.635,0.001
PSc080762,0.283,0.001
PSc080768,0.123,0.001
PSc090022,0.909,0.001
PSc090034,0.027,0.001
PSc090037,0.145,0.001
PSc090201,0.51,0.001
PSc090245,0.152,0.001
PSc090275,0.14,0.001
PSc091034,0.184,0.001
PSc091040,0.285,0.001
PSc091746,0.286,0.001
PSc091748,0.148,0.001
PSc091869,0.29,0.001
PSc100020,0.247,0.001
PSc100090,0.172,0.001
PSc100101,0.43,0.001
PSc100163,0.319,0.001
PSc100170,0.074,0.001
PSc100206,0.217,0.001
PSc100213,0.276,0.001
PSc100358,0.36,0.001
PSc100405,0.10332,0.001
PSc110016,0.111,0.001
PSc110024,0.511,0.001
PSc110030,0.179,0.001
PSc110031,0.29,0.001
PSc110033,0.21,0.001
PSc110034,0.24,0.001
PSc110036,0.203,0.001
PSc110058,0.3,0.001
PSc110405,0.65,0.001
PSc110425,0.38,0.001
PSc110430,0.42,0.001
PSc110431,0.35,0.001
PSc110446,0.374,0.001
PSc110460,0.2,0.001
PSc110468,0.092,0.001
PSc110478,0.27,0.001
PSc110484,0.51,0.001
PSc110536,0.25,0.001
PSc110542,0.43,0.001
PSc110567,0.22,0.001
PSc110716,0.32,0.001
PSc110719,0.4,0.001
PSc110721,0.57,0.001
PSc110734,0.4,0.001
PSc120031,0.524,0.001
PSc120044,0.48,0.001
PSc120067,0.422,0.001
PSc120085,0.32,0.001
PSc120086,0.4,0.001
PSc120094,0.45,0.001
PSc120113,0.04,0.001
PSc120143,0.174,0.001
PSc120175,0.105,0.001
PSc120215,0.092,0.001
PSc120225,0.10559,0.001
PSc120228,0.12,0.001
PSc120243,0.336,0.001
PSc120333,0.24,0.001
PSc120336,0.16,0.001
PSc120369,0.329,0.001
PSc120400,0.35,0.001
PSc120419,0.093,0.001
PSc120444,0.3,0.001
PSc120585,0.25,0.001
PSc120586,0.23,0.001
PSc130150,0.21,0.001
PSc130308,0.08177,0.001
PSc130327,0.096,0.001
PSc130451,0.22,0.001
PSc130514,0.105,0.001
PSc130755,0.293,0.001
PSc130792,0.024,0.001
PSc130812,0.282,0.001
PSc130816,0.082,0.001
PSc130846,0.059,0.001
PSc130862,0.33,0.001
PSc130913,0.21,0.001
PSc130942,0.4,0.001
PSc130943,0.3,0.001
PSc131014,0.068,0.001
PSc131015,0.07,0.001
PSc131089,0.055,0.001
PSc131094,0.101,0.001
PSc140103,0.145,0.001
PSc140152,0.21,0.001
PSc140181,0.101,0.001
PSc140357,0.148,0.001
PSc140418,0.191,0.001
PSc150249,0.133,0.001
PSc150254,0.27,0.001
PSc150267,0.209,0.001
PSc150381,1.283,0.001
PSc150412,0.236,0.001
PSc150455,0.064,0.001
PSc150457,0.31,0.001
PSc150507,0.073,0.001
PSc150509,0.3,0.001
PSc150522,0.23,0.001
PSc150576,0.168,0.001
PSc150582,0.116,0.001
PSc150692,0.077,0.001
PSc151034,0.13188,0.001
PSc151425,0.328,0.001
PSc160039,0.27,0.001
PSc160042,0.146,0.001
PSc160046,0.10665,0.001
PSc160066,0.53,0.001
PSc160070,0.36,0.001
PSc160099,0.1,0.001
PSc160103,1.407,0.001
PSc160126,0.37,0.001
PSc160197,0.36,0.001
PSc160198,0.35,0.001
PSc160200,0.423,0.001
PSc160287,0.51,0.001
PSc170078,0.32,0.001
PSc170428,0.3,0.001
PSc170532,0.107,0.001
PSc180166,0.147,0.001
PSc180279,1,0.001
PSc180313,0.51,0.001
PSc180561,0.23,0.001
PSc190209,0.37,0.001
PSc190230,0.14,0.001
PSc190237,0.229,0.001
PSc190260,0.145,0.001
PSc190266,0.052,0.001
PSc190299,0.077,0.001
PSc190340,0.13957,0.001
PSc190369,0.052,0.001
PSc200079,0.093,0.001
PSc300008,0.061,0.001
PSc300089,0.188,0.001
PSc300105,0.093,0.001
PSc300112,0.095,0.001
PSc300140,0.218,0.001
PSc300179,0.181,0.001
PSc300221,0.043,0.001
PSc310025,0.158,0.001
PSc310026,0.0445,0.001
PSc310039,0.173,0.001
PSc310042,0.24,0.001
PSc310051,0.272,0.001
PSc310073,0.15,0.001
PSc310090,0.345,0.001
PSc310091,0.509,0.001
PSc310146,0.477,0.001
PSc310161,0.254,0.001
PSc310188,0.32,0.001
PSc310238,0.284,0.001
PSc310260,0.51,0.001
PSc310359,0.103,0.001
PSc320099,0.381,0.001
PSc320258,0.342,0.001
PSc320347,0.068,0.001
PSc320469,0.38,0.001
PSc330013,0.123,0.001
PSc330022,0.265,0.001
PSc330023,0.182,0.001
